,production
0,4.8805793366259485
1,3.127418214379366
2,3.1366770909358093
3,5.049439253753195
4,5.528382464154487
5,1.7291450217988482
6,3.6940742709910404
7,0.6280158911773942
8,1.1653359207110179
9,1.161587087829498
10,1.1439042778598165
11,1.727398710067665
12,0.8792117236327344
13,1.2196492837109436
14,1.3260134302349607
15,1.7785053535496391
16,0.9025974047421526
17,1.213427963096691
18,1.2980094462523188
19,1.6038221736484646
20,0.5359084041334539
21,0.8415671856782186
22,0.8394096875381973
23,1.1804994481402937
24,1.0105094071131369
25,1.0238887424721732
26,1.5216989981260935
27,0.3798053613275868
28,2.1789474525358674
29,0.745739630679116
30,1.0584844975773304
31,1.5882142759824738
32,0.18232155679395462
33,2.2669579153508947
34,1.0094167098636389
35,1.068153081183401
36,2.2111274825052107
37,2.390412803359566
38,2.403877344475918
39,2.5493670428736546
40,1.515786356352645
41,1.1850957485562468
42,2.224947823266893
43,1.5551928975817046
44,2.8996618048032574
45,3.851104590458729
46,0.27231459532065916
47,0.3485419607085434
48,0.8833542316278902
49,6.408915866053934
50,2.2774723921789706
51,0.13802129789737466
52,1.0246068753576139
53,0.011928570865273802
54,1.6140273647679075
55,1.8619072291301368
56,0.9846967645382154
57,1.5931052578132028
58,1.2270055034365086
59,1.7559595650968676
60,0.6280751838162304
61,1.2612978709452054
62,1.5675737083354015
63,0.7916341272745994
64,0.7920871284148489
65,2.56694736012421
66,4.111480237668787
67,2.9883551292149417
68,2.8114487934464956
69,3.78348484015493
70,3.9369497369520046
71,0.6901426715396466
72,1.796415280764249
73,1.587601217824926
74,0.44980092192821614
75,1.1098818809263407
76,6.58523880609343
77,2.119142908531388
78,1.2547609711580412
79,1.5987813322455715
80,5.578468653684166
81,3.975579794824771
82,2.492957487977711
83,3.006276487429662
84,2.318163122957364
85,2.467082064875448
86,1.66392609771817
87,1.419729137206128
88,3.125268194903025
89,3.896828146045604
90,2.3117430307788114
91,4.810491867011107
92,3.9041521110475768
93,5.0915576147968
94,4.292566808131064
95,1.8245492920510458
96,2.1082719233477127
97,3.7751947555658565
98,3.80071148427688
99,3.178428760053019
100,1.922641522115959
101,1.179885008796846
102,1.226418993155766
103,1.2725655957915476
104,1.466029329138744
105,1.599791535382295
106,2.340651293800502
107,2.2830964164101832
108,2.322191622632964
109,2.1357037206879688
110,0.5624688569178291
111,2.54584494789308
112,2.414662996399396
113,0.0
114,0.28292075535007044
115,1.1606476795875624
116,1.636469251485131
117,4.06546486267145
118,4.893794314565627
119,2.7448320451947383
120,2.4211678088209934
121,1.0152306797290587
122,1.5295285292057985
123,3.930079010227717
124,3.9694047276662516
125,3.9694047276662516
126,3.9694047276662516
