,year,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,altitude,ac,solrad
2543,2017,39.92519,-4.348843,22.856593406593404,10.137087912087912,320.29999999999995,320.2,0.07,520.0,0 days 12:15:41.043956043,14.134340659340658,31.794780219780225,170.6094182825485,6672.629999999999,1433.66,529.0,6392.298656651283,5.301382010495533
2544,2017,39.65293,-4.783727,22.00879120879121,10.301373626373628,386.1,385.3,0.63,635.0,0 days 12:15:33.296703296,14.300274725274706,34.523626373626385,167.5650969529086,6552.67,1393.21,529.0,6392.298656651283,5.301382010495533
2545,2017,40.10413,-3.77008,22.947527472527483,10.326373626373623,311.79999999999995,311.4,0.28,546.0,0 days 12:15:44.175824175,15.18461538461538,32.29505494505496,183.4116022099448,6674.67,1477.0400000000002,529.0,6392.298656651283,5.301382010495533
2546,2017,39.68958,-5.093503,22.266758241758254,10.56346153846154,463.9,463.7,0.21,661.0,0 days 12:15:32.472527472,13.553571428571416,31.545604395604368,167.73480662983425,6579.16,1363.91,529.0,6392.298656651283,5.301382010495533
2547,2017,40.05297,-4.209178,22.505769230769214,9.786538461538465,320.29999999999995,320.2,0.07,520.0,0 days 12:15:38.901098901,14.134340659340658,31.794780219780225,170.6094182825485,6672.629999999999,1423.39,529.0,6392.298656651283,5.301382010495533
2548,2017,39.70341,-4.274498,21.759615384615387,9.47994505494505,389.6,388.7000000000001,0.7,600.0,0 days 12:15:33.956043956,14.311538461538458,32.8664835164835,177.29834254143643,6627.7,1387.5,529.0,6392.298656651283,5.301382010495533
2549,2017,40.09929,-4.645718,22.80494505494505,10.808241758241754,343.1,343.0,0.07,591.0,0 days 12:15:42.362637362,12.978846153846154,32.41291208791207,160.32485875706217,6613.06,1378.64,529.0,6392.298656651283,5.301382010495533
2550,2017,39.96661,-4.303091,22.7565934065934,10.037087912087918,320.29999999999995,320.2,0.07,520.0,0 days 12:15:38.571428571,14.134340659340658,31.794780219780225,170.6094182825485,6672.629999999999,1431.62,529.0,6392.298656651283,5.301382010495533
2551,2017,39.81336,-4.147479,22.211813186813192,9.930219780219774,389.6,388.7000000000001,0.7,600.0,0 days 12:15:38.901098901,14.311538461538458,32.8664835164835,177.29834254143643,6627.7,1401.19,529.0,6392.298656651283,5.301382010495533
2552,2017,39.78557,-3.477073,22.611263736263737,9.949450549450544,289.6,288.5,0.98,472.0,0 days 12:15:38.571428571,17.649450549450535,32.678846153846166,199.51388888888889,6709.27,1523.4499999999998,529.0,6392.298656651283,5.301382010495533
2553,2017,39.86949,-4.920238,23.28186813186812,11.898351648351646,473.19999999999993,473.19999999999993,0.07,620.0,0 days 12:15:39.065934065,13.467582417582417,31.419780219780204,175.05292479108635,6564.4,1395.2600000000002,529.0,6392.298656651283,5.301382010495533
2554,2017,39.8897,-5.242633,23.14340659340657,11.386813186813193,376.3,376.3,0.0,623.0,0 days 12:15:36.263736263,11.452197802197796,30.04532967032969,167.0360110803324,6583.450000000001,1357.12,664.0,6266.304625998432,5.079303485604518
2555,2017,40.10402,-4.724235,21.694780219780235,9.567582417582422,459.9,459.2,0.6299999999999999,680.0,0 days 12:15:41.373626373,14.081318681318688,32.49972527472524,170.13019390581718,6601.779999999999,1362.9299999999998,664.0,6266.304625998432,5.079303485604518
2556,2017,39.6122,-4.49834,21.38049450549451,9.52912087912087,407.8,406.3,1.19,643.0,0 days 12:15:35.274725274,14.322527472527476,36.09587912087914,171.05524861878453,6562.8,1382.9499999999998,529.0,6392.298656651283,5.301382010495533
2557,2017,40.09836,-4.445142,23.04423076923075,10.708241758241757,340.1,340.1,0.0,584.0,0 days 12:15:42.362637362,13.474725274725268,32.043681318681315,164.4611111111111,6643.45,1408.99,529.0,6392.298656651283,5.301382010495533
