,altitude,ac,solrad,lat,longitude
46,25.0,6064.009095535564,5.13329049108381,35.68,5.9861
48,25.0,6064.009095535564,5.13329049108381,35.68,-77.87
50,25.0,6064.009095535564,5.13329049108381,36.4739,5.2719
51,25.0,6064.009095535564,5.13329049108381,36.4739,137.6897
52,25.0,6064.009095535564,5.13329049108381,36.8139,5.876
53,25.0,6064.009095535564,5.13329049108381,36.8139,-97.1253
54,21.0,6758.131471962407,5.615388717961149,35.8064,-0.2476
55,4.0,6065.938750661092,5.113214678885611,36.885,8.0778
56,7.0,5993.779060665859,4.966651015207209,32.945,0.555
57,4.0,6065.938750661092,5.113214678885611,34.5056,6.9848
58,21.0,6758.131471962407,5.615388717961149,35.8,-0.1924
60,21.0,6758.131471962407,5.615388717961149,35.8,-0.1924
62,25.0,6064.009095535564,5.13329049108381,35.7071,4.4804
63,7.0,5993.779060665859,4.966651015207209,33.274,-0.372
64,4.0,6065.938750661092,5.113214678885611,35.919,7.87
65,25.0,6064.009095535564,5.13329049108381,35.68,5.9861
67,25.0,6064.009095535564,5.13329049108381,35.68,-77.87
69,25.0,6064.009095535564,5.13329049108381,36.8509,3.6983
70,25.0,6064.009095535564,5.13329049108381,36.01,5.035
71,21.0,6758.131471962407,5.615388717961149,35.7095,-0.6319
72,62.0,6090.018437106866,5.032730159320203,35.7835,0.5407
73,25.0,6064.009095535564,5.13329049108381,36.1399,2.9296
74,4.0,6065.938750661092,5.113214678885611,36.8789,6.9366
75,25.0,6064.009095535564,5.13329049108381,32.9475,3.238
76,4.0,6065.938750661092,5.113214678885611,36.88,6.935
77,7.0,5993.779060665859,4.966651015207209,35.4608,-1.2295
78,25.0,6064.009095535564,5.13329049108381,35.3396,1.3562
79,25.0,6064.009095535564,5.13329049108381,33.1319,3.348
80,25.0,6064.009095535564,5.13329049108381,33.1377,3.3678
81,25.0,6064.009095535564,5.13329049108381,33.1377,-81.7483
82,7.0,5993.779060665859,4.966651015207209,29.22,0.223
83,206.0,6376.487259596894,5.383444447929009,27.752,-8.154
84,7.0,5993.779060665859,4.966651015207209,34.692,-0.601
85,7.0,5993.779060665859,4.966651015207209,34.692,-106.688
86,476.0,3497.196699194679,3.057453046206171,-38.9368,-68.3556
88,476.0,3497.196699194679,3.057453046206171,-38.9368,-68.3556
90,476.0,3497.196699194679,3.057453046206171,-34.5792,-68.9892
91,16.0,3268.925652577528,2.780352900198646,-40.58,-70.7489
92,101.0,3566.763292134526,3.188986407306761,-34.8386,-58.4033
93,476.0,3497.196699194679,3.057453046206171,-38.9524,-68.0218
94,476.0,3497.196699194679,3.057453046206171,-39.2145,-70.9157
95,476.0,3497.196699194679,3.057453046206171,-33.0452,-69.0516
96,476.0,3497.196699194679,3.057453046206171,-39.1009,-68.5982
97,101.0,3566.763292134526,3.188986407306761,-33.967,-59.2059
98,101.0,3566.763292134526,3.188986407306761,-33.9674,-59.2045
99,4042.0,4007.736885556867,3.457012742900494,-23.8219,-64.7847
100,16.0,3268.925652577528,2.780352900198646,-41.1167,-71.4167
101,114.0,3261.747382962169,2.882465860472222,-26.2545,-53.6469
102,101.0,3566.763292134526,3.188986407306761,-35.0241,-58.4237
103,101.0,3566.763292134526,3.188986407306761,-27.7534,-57.6205
104,120.0,4353.865690431432,3.729459144114346,-25.2712,-65.3298
105,476.0,3497.196699194679,3.057453046206171,-33.0291,-69.1109
106,120.0,4353.865690431432,3.729459144114346,-25.1089,-66.2106
107,120.0,4353.865690431432,3.729459144114346,-26.0715,-65.9876
108,120.0,4353.865690431432,3.729459144114346,-28.4537,-65.7841
109,120.0,4353.865690431432,3.729459144114346,-28.4773,-65.7872
110,120.0,4353.865690431432,3.729459144114346,-28.4684,-65.7797
111,476.0,3497.196699194679,3.057453046206171,-38.2143,-67.1908
112,476.0,3497.196699194679,3.057453046206171,-38.5127,-68.6048
113,476.0,3497.196699194679,3.057453046206171,-38.062,-67.9463
114,101.0,3566.763292134526,3.188986407306761,-34.9027,-58.7334
116,101.0,3566.763292134526,3.188986407306761,-34.9027,-58.7334
118,101.0,3566.763292134526,3.188986407306761,-31.7112,-60.7811
119,4042.0,4007.736885556867,3.457012742900494,-24.7456,-65.0513
120,4042.0,4007.736885556867,3.457012742900494,-24.6894,-65.0425
122,4042.0,4007.736885556867,3.457012742900494,-22.3497,-63.7664
123,101.0,3566.763292134526,3.188986407306761,-34.7208,-58.3881
124,101.0,3566.763292134526,3.188986407306761,-34.6268,-58.5438
125,4042.0,4007.736885556867,3.457012742900494,-24.6894,-65.0425
127,101.0,3566.763292134526,3.188986407306761,-32.5778,-60.791
128,476.0,3497.196699194679,3.057453046206171,-31.5192,-68.9814
129,476.0,3497.196699194679,3.057453046206171,-29.1578,-67.5069
130,476.0,3497.196699194679,3.057453046206171,-31.9881,-68.5402
131,476.0,3497.196699194679,3.057453046206171,-38.9121,-67.9427
132,114.0,3261.747382962169,2.882465860472222,-25.6669,-54.0419
133,114.0,3261.747382962169,2.882465860472222,-25.9913,-54.6278
134,37.0,2137.712413331692,1.809506866983044,-45.8467,-67.4964
135,101.0,3566.763292134526,3.188986407306761,-27.4708,-58.8042
137,101.0,3566.763292134526,3.188986407306761,-34.626,-58.3393
138,476.0,3497.196699194679,3.057453046206171,-33.0349,-68.7971
139,476.0,3497.196699194679,3.057453046206171,-38.8706,-70.5753
140,114.0,3261.747382962169,2.882465860472222,-27.0922,-54.8625
141,114.0,3261.747382962169,2.882465860472222,-27.0922,-50.722
142,101.0,3566.763292134526,3.188986407306761,-34.0414,-60.1297
143,16.0,3268.925652577528,2.780352900198646,-41.1497,-71.2633
144,101.0,3566.763292134526,3.188986407306761,-34.1636,-59.7683
145,120.0,4353.865690431432,3.729459144114346,-28.4706,-65.7647
146,476.0,3497.196699194679,3.057453046206171,-38.0528,-70.6136
147,101.0,3566.763292134526,3.188986407306761,-29.8883,-61.9297
148,101.0,3566.763292134526,3.188986407306761,-27.2369,-61.1939
149,476.0,3497.196699194679,3.057453046206171,-29.1581,-67.5072
150,476.0,3497.196699194679,3.057453046206171,-38.9133,-67.9414
151,101.0,3566.763292134526,3.188986407306761,-32.4767,-58.2672
152,101.0,3566.763292134526,3.188986407306761,-27.4708,-58.8042
154,101.0,3566.763292134526,3.188986407306761,-34.8597,-57.9557
155,101.0,3566.763292134526,3.188986407306761,-30.055,-59.5294
156,101.0,3566.763292134526,3.188986407306761,-26.1764,-58.2094
157,101.0,3566.763292134526,3.188986407306761,-29.1583,-59.2728
158,101.0,3566.763292134526,3.188986407306761,-23.9078,-61.8342
159,101.0,3566.763292134526,3.188986407306761,-25.9564,-60.6204
160,101.0,3566.763292134526,3.188986407306761,-34.9344,-58.016
161,476.0,3497.196699194679,3.057453046206171,-29.3811,-66.8325
162,476.0,3497.196699194679,3.057453046206171,-29.3808,-66.8319
163,101.0,3566.763292134526,3.188986407306761,-25.1286,-58.2597
164,101.0,3566.763292134526,3.188986407306761,-37.0781,-57.8181
166,101.0,3566.763292134526,3.188986407306761,-37.0781,-57.8181
168,101.0,3566.763292134526,3.188986407306761,-27.0289,-58.6997
169,476.0,3497.196699194679,3.057453046206171,-40.8421,-68.0869
170,101.0,3566.763292134526,3.188986407306761,-35.1917,-59.0808
171,101.0,3566.763292134526,3.188986407306761,-35.1001,-57.4839
172,101.0,3566.763292134526,3.188986407306761,-34.3931,-58.8372
173,476.0,3497.196699194679,3.057453046206171,-37.4102,-68.9
174,4042.0,4007.736885556867,3.457012742900494,-23.1258,-64.3069
