,year,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
0,2017,37.14114,-2.780104,23.171153846153835,9.405219780219781,230.7,210.29999999999998,15.049999999999999,399.0,0 days 12:14:47.637362637,14.211538461538455,35.250549450549435,207.1657458563536,6946.9,1486.0900000000001
1,2017,37.13305,-2.797098,21.260439560439572,10.686263736263735,236.40000000000003,219.5,12.32,492.0,0 days 12:14:47.142857142,9.5934065934066,36.98296703296701,184.55801104972375,7014.89,1346.2
2,2017,36.74807,-3.022522,,,0.0,0.0,0.0,0.0,0 days 12:14:40.384615384,,,,0.0,0.0
3,2017,37.2871,-2.181163,22.664010989011008,13.171703296703289,202.0,201.5,0.35000000000000003,362.0,0 days 12:14:48.791208791,14.055219780219765,37.711813186813195,148.75069252077563,6989.03,1417.56
4,2017,37.03319,-2.62175,23.164010989011008,13.671703296703289,202.0,201.5,0.35000000000000003,362.0,0 days 12:14:45.989010989,14.055219780219765,37.711813186813195,148.75069252077563,6989.03,1433.19
5,2017,37.38979,-2.147483,22.588461538461534,12.621153846153852,264.8,263.3,1.0499999999999998,402.0,0 days 12:14:51.758241758,14.58104395604395,37.021978021978,162.10833333333332,6906.51,1394.05
6,2017,36.97449,-2.961038,22.808241758241767,12.233241758241773,236.40000000000003,219.5,12.32,492.0,0 days 12:14:45.824175824,9.5934065934066,36.98296703296701,184.55801104972375,7014.89,1390.5
7,2017,37.33585,-2.596944,22.687362637362643,9.249725274725277,226.2,192.89999999999998,23.59,427.0,0 days 12:14:50.604395604,14.073626373626372,35.4884615384615,197.40495867768595,6972.42,1455.72
8,2017,37.23598,-2.266174,21.67719780219781,9.225,261.9,217.39999999999998,31.430000000000003,466.0,0 days 12:14:48.626373626,13.794505494505481,37.07747252747252,191.53591160220995,6945.8099999999995,1387.4299999999998
9,2017,36.9893,-2.587667,23.864010989011,14.371703296703304,202.0,201.5,0.35000000000000003,362.0,0 days 12:14:44.835164835,14.055219780219765,37.711813186813195,148.75069252077563,6989.03,1457.1699999999998
10,2017,36.95742,-2.570075,22.313461538461546,12.820329670329674,202.0,201.5,0.35000000000000003,362.0,0 days 12:14:42.527472527,14.055219780219765,37.711813186813195,148.75069252077563,6989.03,1405.04
11,2017,36.9663,-2.601994,23.064010989010956,13.571703296703296,202.0,201.5,0.35000000000000003,362.0,0 days 12:14:45.494505494,14.055219780219765,37.711813186813195,148.75069252077563,6989.03,1429.53
12,2017,36.84016,-2.467922,25.564010989010956,16.0717032967033,202.0,201.5,0.35000000000000003,362.0,0 days 12:14:42.197802197,14.055219780219765,37.711813186813195,148.75069252077563,6989.03,1512.85
13,2017,37.00236,-2.790071,21.4131868131868,11.307142857142857,211.0,198.3,8.89,431.0,0 days 12:14:44.835164835,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1363.01
14,2017,37.002,-2.594579,23.713461538461555,14.220329670329672,202.0,201.5,0.35000000000000003,362.0,0 days 12:14:45,14.055219780219765,37.711813186813195,148.75069252077563,6989.03,1452.19
15,2017,37.24516,-1.917543,23.54532967032967,15.682142857142855,203.7,203.6,0.07,335.0,0 days 12:14:48.296703296,17.98186813186813,38.89478021978022,129.26098901098902,6922.57,1442.21
16,2017,37.35025,-2.074867,23.540934065934056,13.573351648351633,264.8,263.3,1.0499999999999998,402.0,0 days 12:14:50.604395604,14.58104395604395,37.021978021978,162.10833333333332,6906.51,1425.25
17,2017,37.34969,-2.411396,22.713186813186805,12.607142857142858,211.0,198.3,8.89,431.0,0 days 12:14:49.945054945,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1402.58
