,Unnamed: 0,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,altitude,solrad,City,production prediction
34,34,37.29709,-1.881476,23.64532967032969,15.782142857142857,203.7,203.6,0.07,335.0,734.8333333333334,17.98186813186813,38.89478021978022,129.26098901098902,6922.57,1445.06,21.0,5.615388717961149," Cuevas del Almanzora, Almería, Andalucía, 04610, España",23.561209
35,35,36.82121,-2.870697,24.11318681318684,14.00714285714287,211.0,198.3,8.89,431.0,734.6666666666666,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1443.9899999999998,21.0,5.615388717961149,"Dalías, Almería, Andalucía, España",46.901047
36,36,36.77506,-2.812738,26.263186813186785,16.15412087912087,211.0,198.3,8.89,431.0,734.6666666666666,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1508.91,21.0,5.615388717961149," El Ejido, Almería, Andalucía, 04700, España",46.28684
37,37,36.87704,-2.602107,22.063186813186817,11.954120879120875,211.0,198.3,8.89,431.0,734.7,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1382.19,21.0,5.615388717961149,"Calle Monseñor Justo Mullor García, Enix, Almería, Andalucía, España",40.9014
38,38,36.86892,-2.657921,21.463186813186823,11.354120879120885,211.0,198.3,8.89,431.0,734.75,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1364.87,21.0,5.615388717961149,"Calle Barranco, Felix, Almería, Andalucía, España",46.21719
39,39,37.17101,-2.840678,22.687362637362643,9.249725274725275,226.2,192.9,23.59,427.0,734.8,14.073626373626372,35.4884615384615,197.40495867768595,6972.42,1455.51,21.0,5.615388717961149,"Calle Real, Fiñana, Almería, Andalucía, España",110.30355
40,40,37.35888,-2.262964,22.813461538461542,13.320329670329675,202.0,201.5,0.35,362.0,734.8666666666667,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1422.4199999999998,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04860, España",41.381126
41,41,36.97942,-2.858356,22.108241758241743,11.533241758241768,236.40000000000003,219.5,12.32,492.0,734.75,9.5934065934066,36.98296703296701,184.5580110497237,7014.89,1370.37,21.0,5.615388717961149," Fondón, Almería, Andalucía, 04470, España",52.205685
42,42,36.95393,-2.492936,24.664010989011008,15.171703296703289,202.0,201.5,0.35,362.0,734.7,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1482.31,21.0,5.615388717961149," Gádor, Almería, Andalucía, 04560, España",29.193954
43,43,37.16948,-1.940099,23.54532967032967,15.682142857142855,203.7,203.6,0.07,335.0,734.7666666666667,17.98186813186813,38.89478021978022,129.26098901098902,6922.57,1441.7,21.0,5.615388717961149," Los Gallardos, Almería, Andalucía, 04288, España",35.333355
44,44,37.17925,-1.821901,24.19395604395603,16.336263736263742,203.7,203.6,0.07,335.0,734.8,17.98186813186813,38.89478021978022,129.26098901098902,6922.57,1464.4700000000005,21.0,5.615388717961149," Garrucha, Almería, Andalucía, 04630, España",45.322113
45,45,37.1207,-2.538305,21.963186813186823,11.85412087912088,211.0,198.3,8.89,431.0,734.8,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1378.92,21.0,5.615388717961149,"Calle Iglesia, Gérgal, Almería, Andalucía, España",49.97831
46,46,36.96788,-2.611436,23.11346153846153,13.620329670329664,202.0,201.5,0.35,362.0,734.75,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1432.37,21.0,5.615388717961149," Huecija, Huécija, Almería, Andalucía, España",42.564686
47,47,37.39063,-1.943684,23.488461538461543,13.521153846153837,264.8,263.3,1.0499999999999998,402.0,734.85,14.58104395604395,37.021978021978,162.10833333333332,6906.51,1423.63,21.0,5.615388717961149," Huércal-Overa, Almería, Andalucía, 04600, España",20.42387
48,48,36.88415,-2.435978,25.31346153846157,15.820329670329674,202.0,201.5,0.35,362.0,734.7166666666667,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1503.8,21.0,5.615388717961149," Huércal de Almería, Almería, Andalucía, 04230, España",32.181133
49,49,36.98504,-2.639302,24.013186813186827,13.90714285714284,211.0,198.3,8.89,431.0,734.75,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1441.28,21.0,5.615388717961149," Íllar, Almería, Andalucía, 04430, España",46.34912
50,50,36.99316,-2.659945,24.063186813186807,13.95412087912087,211.0,198.3,8.89,431.0,734.7666666666667,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1441.51,21.0,5.615388717961149,"Plaza Federico Salvador, Instinción, Almería, Andalucía, España",45.754723
51,51,37.29667,-2.329601,20.70631868131868,10.142032967032964,344.8,310.70000000000005,23.94,578.0,734.8333333333334,13.066483516483515,37.88956043956044,180.99166666666667,6936.52,1329.89,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04867, España",38.48468
52,52,36.99384,-2.88922,21.66043956043956,11.086263736263737,236.40000000000003,219.5,12.32,492.0,734.75,9.5934065934066,36.98296703296701,184.5580110497237,7014.89,1357.85,21.0,5.615388717961149," Láujar de Andarax, Almería, Andalucía, 04470, España",45.273277
53,53,37.29527,-2.219928,22.859615384615367,11.478571428571426,286.9,263.3,16.52,459.0,734.8,15.169505494505495,35.227747252747285,192.1030640668524,6834.15,1396.2,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04859, España",58.597366
54,54,37.21585,-2.067055,22.313461538461542,12.820329670329674,202.0,201.5,0.35,362.0,734.85,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1404.08,21.0,5.615388717961149," Lubrín, Almería, Andalucía, 04271, España",51.654022
55,55,37.04179,-2.200706,22.36401098901099,12.871703296703307,202.0,201.5,0.35,362.0,734.75,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1405.81,21.0,5.615388717961149," Calle Dr. J García Galera, Lucainena de las Torres, Almería, Andalucía, España",38.60939
56,56,37.39965,-2.427074,22.37719780219781,9.924999999999995,261.9,217.4,31.430000000000003,466.0,734.8666666666667,13.79450549450548,37.07747252747252,191.53591160220995,6945.81,1408.65,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04887, España",31.439041
57,57,37.33229,-2.304892,22.264010989010995,12.7717032967033,202.0,201.5,0.35,362.0,734.8666666666667,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1403.44,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04867, España",28.443834
58,58,37.7111,-2.165795,19.79725274725273,7.970604395604399,464.8,371.1,66.29,707.0,734.9666666666667,13.375549450549448,36.51016483516485,207.4679665738161,6805.45,1288.17,21.0,5.615388717961149," María, Los Vélez, Almería, Andalucía, España",38.880733
59,59,37.13995,-1.851328,23.14532967032969,15.282142857142857,203.7,203.6,0.07,335.0,734.7666666666667,17.98186813186813,38.89478021978022,129.26098901098902,6922.57,1428.12,21.0,5.615388717961149," Mojácar, Almería, Andalucía, 04638, España",19.591795
60,60,36.75254,-2.688159,26.563186813186828,16.454120879120875,211.0,198.3,8.89,431.0,734.6833333333333,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1518.0300000000002,21.0,5.615388717961149," La Mojonera, Almería, Andalucía, 04745, España",41.767868
61,61,37.10497,-2.64774,22.96318681318682,12.854120879120888,211.0,198.3,8.89,431.0,734.7666666666667,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1410.15,21.0,5.615388717961149," Calle Plaza, Nacimiento, Almería, Andalucía, España",53.03528
