Title,Red Eléctrica Index (IRE) - INDUSTRY - CUMULATIVE TOTAL - YEAR_01-01-2019_31-01-2020,,,,,,,,,,,,
Electricity system,Peninsular,,,,,,,,,,,,
Magnitude,% | Índice (2010=100),,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fecha,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020
Industry index,"123,055","118,951","121,412","120,79","122,247","122,235","122,475","121,2","121,426","121,93","121,644","120,161","115,425"
Corrected industry index,"102,116","103,055","103,049","102,617","102,488","102,034","100,906","99,028","99,215","99,256","99,414","98,561","96,184"
Variación anual,"-0,015","-0,994","-1,159","-2,266","-2,582","-2,974","-2,813","-2,961","-3,027","-3,022","-3,136","-3,357","-6,2"
Variación anual corregida,"0,386","-1,294","-1,996","-2,7","-3,047","-3,326","-3,359","-3,392","-3,362","-3,473","-3,569","-3,822","-5,809"
 ,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Status,,,,,,,,,,,,,
 ,Definitivo: 01/01/2019 - 31/01/2020,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Export date,02/12/2022 - 12:36:00,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Source,www.ree.es,,,,,,,,,,,,
